TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
36.114,35.7854,35.3865,35.2797,35.3282,35.3934,35.215,35.0066,34.9119,34.7642,34.5265,34.8111,34.5596
36.0618,35.7591,35.3406,35.2689,35.2596,35.3732,35.2029,35.0175,34.9162,34.7872,34.5384,34.7835,34.5531
36.0618,35.7591,35.3406,35.2689,35.2596,35.3732,35.2029,35.0175,34.9162,34.7872,34.5384,34.7835,34.5531
36.0036,35.7036,35.3165,35.2464,35.2105,35.3449,35.185,35.0244,34.9254,34.8001,34.5393,34.748,34.5417
36.0036,35.7036,35.3165,35.2464,35.2105,35.3449,35.185,35.0244,34.9254,34.8001,34.5393,34.748,34.5417
35.9376,35.6503,35.2935,35.2118,35.1962,35.3175,35.1657,35.016,34.9387,34.8061,34.5474,34.7198,34.5412
35.9376,35.6503,35.2935,35.2118,35.1962,35.3175,35.1657,35.016,34.9387,34.8061,34.5474,34.7198,34.5412
35.8374,35.6246,35.2576,35.1972,35.1791,35.2836,35.1569,35.0081,34.9549,34.8116,34.5504,34.6967,34.5377
35.8374,35.6246,35.2576,35.1972,35.1791,35.2836,35.1569,35.0081,34.9549,34.8116,34.5504,34.6967,34.5377
35.7363,35.6123,35.2249,35.1908,35.1563,35.2641,35.1556,35.0285,34.9534,34.8162,34.5509,34.6601,34.5382
35.7363,35.6123,35.2249,35.1908,35.1563,35.2641,35.1556,35.0285,34.9534,34.8162,34.5509,34.6601,34.5382
35.6321,35.6025,35.1879,35.1812,35.1319,35.2516,35.1445,35.0331,34.9478,34.8142,34.5508,34.616,34.5478
35.6321,35.6025,35.1879,35.1812,35.1319,35.2516,35.1445,35.0331,34.9478,34.8142,34.5508,34.616,34.5478
35.5595,35.5919,35.1616,35.167,35.0937,35.238,35.1327,35.0338,34.9417,34.8126,34.549,34.5775,34.5468
35.5595,35.5919,35.1616,35.167,35.0937,35.238,35.1327,35.0338,34.9417,34.8126,34.549,34.5775,34.5468
35.5171,35.5823,35.1436,35.1534,35.0543,35.2351,35.1246,35.0339,34.9316,34.8125,34.5474,34.5559,34.5551
35.5171,35.5823,35.1436,35.1534,35.0543,35.2351,35.1246,35.0339,34.9316,34.8125,34.5474,34.5559,34.5551
35.4915,35.5625,35.1297,35.1335,35.0222,35.2264,35.1324,35.0318,34.9264,34.8165,34.5466,34.553,34.567
35.4915,35.5625,35.1297,35.1335,35.0222,35.2264,35.1324,35.0318,34.9264,34.8165,34.5466,34.553,34.567
35.4678,35.5459,35.1174,35.1039,35.001,35.2056,35.1444,35.0314,34.9307,34.8259,34.5459,34.5545,34.5758
35.4678,35.5459,35.1174,35.1039,35.001,35.2056,35.1444,35.0314,34.9307,34.8259,34.5459,34.5545,34.5758
35.4567,35.5388,35.1025,35.0768,34.9805,35.18,35.1319,35.0228,34.9286,34.832,34.5434,34.5543,34.5767
35.4567,35.5388,35.1025,35.0768,34.9805,35.18,35.1319,35.0228,34.9286,34.832,34.5434,34.5543,34.5767
35.4517,35.5254,35.0781,35.0529,34.9729,35.1411,35.1117,35.0175,34.9207,34.8331,34.5416,34.5547,34.5766
35.4517,35.5254,35.0781,35.0529,34.9729,35.1411,35.1117,35.0175,34.9207,34.8331,34.5416,34.5547,34.5766
35.4392,35.4857,35.061,35.0377,34.9671,35.0953,35.0872,35.0136,34.913,34.8341,34.5421,34.5515,34.5774
35.4392,35.4857,35.061,35.0377,34.9671,35.0953,35.0872,35.0136,34.913,34.8341,34.5421,34.5515,34.5774
35.4097,35.4334,35.0536,35.0321,34.9608,35.0572,35.0807,35.0107,34.9074,34.8335,34.5393,34.5519,34.5718
